taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3879962	Laetia suaveolens (Poepp.) Benth.	10824398	Casearia suaveolens (Poepp. & Endl.) T.Samar. & M.H.Alford	9	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Casearia	2874105	Casearia suaveolens	10824398	LC
4143443	Ischaemum latifolium (Spreng.) Kunth	4143443	Ischaemum latifolium (Spreng.) Kunth	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Ischaemum	2702456	Ischaemum latifolium	4143443	NE
4178030	Ocotea neesiana (Miq.) Kosterm.	4178030	Ocotea neesiana (Miq.) Kosterm.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Ocotea	3034076	Ocotea neesiana	4178030	LC
5289176	Vriesea heliconioides (Kunth) Hook. ex Walp.	5289176	Vriesea heliconioides (Kunth) Hook. ex Walp.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Bromeliaceae	3740	Vriesea	2699764	Vriesea heliconioides	5289176	LC
5580096	Tontelea attenuata Miers	5580096	Tontelea attenuata Miers	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Celastrales	950	Celastraceae	6715	Tontelea	7550998	Tontelea attenuata	5580096	LC
7288335	Vochysia obscura Warm.	7288335	Vochysia obscura Warm.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Vochysiaceae	3231623	Vochysia	8225540	Vochysia obscura	7288335	LC
7310786	Asplenium angustum Sw.	7310786	Asplenium angustum Sw.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Aspleniaceae	6625	Asplenium	2650583	Asplenium angustum	7310786	NE
7901688	Amphilophium laevis (Sandwith) L.G.Lohmann	7901688	Amphilophium laevis (Sandwith) L.G.Lohmann	26	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Amphilophium	3172588	Amphilophium laevis	7901688	NE
2650635	Asplenium serra Langsd. & Fisch.	2650635	Asplenium serra Langsd. & Fisch.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Aspleniaceae	6625	Asplenium	2650583	Asplenium serra	2650635	NE
2696238	Puya floccosa (Linden) É.Morren ex Mez	2696238	Puya floccosa (Linden) É.Morren ex Mez	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Bromeliaceae	3740	Puya	2696046	Puya floccosa	2696238	NE
2887362	Ecclinusa ramiflora Mart.	2887362	Ecclinusa ramiflora Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Ecclinusa	2887353	Ecclinusa ramiflora	2887362	LC
2930275	Solanum nigrescens M.Martens & Galeotti	2930275	Solanum nigrescens M.Martens & Galeotti	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum nigrescens	2930275	NE
3055091	Alchorneopsis floribunda (Benth.) Müll.Arg.	3055091	Alchorneopsis floribunda (Benth.) Müll.Arg.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Alchorneopsis	7410955	Alchorneopsis floribunda	3055091	LC
3055569	Dalechampia scandens L.	3055569	Dalechampia scandens L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Dalechampia	3055556	Dalechampia scandens	3055569	LC
